country,state,city,utc,parameter,value,unit,latitude,longitude,attribution
US,North Carolina,Charlotte,2020-10-03T03:00:00Z,pm25,10,µg/m,35.213171,-80.874084,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Mecklenburg County Air Quality""}]"
US,North Dakota,,,,,,,,
US,Ohio,Cleveland,2018-10-02T09:00:00Z,pm25,7.6,µg/m,33.750833,-90.734167,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ohio DEQ""}]"
US,Ohio,Cleveland,2019-10-02T06:00:00Z,pm25,15.3,µg/m,33.750833,-90.734167,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ohio DEQ""}]"
US,Ohio,Cleveland,2020-10-02T03:00:00Z,pm25,9.7,µg/m,33.750833,-90.734167,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Ohio DEQ""}]"
US,Oklahoma,Oklahoma City,2018-10-02T06:00:00Z,pm25,7.4,µg/m,35.32,-97.4883,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Oklahoma Department of Environmental Quality""}]"
US,Oklahoma,Oklahoma City,2019-10-02T14:00:00Z,pm25,10,µg/m,35.32,-97.4883,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Oklahoma Department of Environmental Quality""}]"
US,Oklahoma,Oklahoma City,2020-10-02T04:00:00Z,pm25,6.5,µg/m,35.32,-97.4883,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Oklahoma Department of Environmental Quality""}]"
US,Oregon,Portland,2018-10-03T00:00:00Z,pm25,2.8,µg/m,45.4702,-122.8159,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Oregon Dept. of Environmental Quality""}]"
US,Oregon,Portland,2019-10-02T17:00:00Z,pm25,3.9,µg/m,45.4702,-122.8159,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Oregon Dept. of Environmental Quality""}]"
US,Oregon,Portland,2020-10-01T17:00:00Z,pm25,15.4,µg/m,45.4702,-122.8159,"[{""url"":""http://www.airnow.gov/"",""name"":""US EPA AirNow""},{""name"":""Oregon Dept. of Environmental Quality""}]"
